limited,1
all,1
10-PT,1
remarkable,2
79-71,2
certainly,1
finally,1
record-breaking,2
20-PT,1
Canadian,1
far,4
13-of-16,1
seemingly,1
fth,1
All-Star,1
continued,1
entire,3
17th,1
10-for10,2
career-high,11
quick,1
85-66,2
20th,1
past,5
second,31
25-year,1
8-of-26,1
even,1
current,5
consistently,1
new,5
net,1
ever,8
__________________,1
season-opening,4
three-point,7
6-6,1
6-7,1
along,2
strong,1
6-0,3
great,3
61-49,1
ahead,2
healthy,1
2018-20,1
.750,1
3-,2
team-record,1
play-,1
bruised,1
fourth-quarter,1
119-112,1
win,1
Also,1
wit,1
ninth,3
total,7
season-high,9
22-12,3
48-33,1
next,1
15-10,1
15-19,2
more,19
29-of-59,1
club,1
87-83,1
65-60,1
9-1,1
athlete,2
5-of-5,1
per-,1
following,2
DOUBLE-DOUBLE,1
high,9
four-point,1
19-13,1
21-18,1
21-13,2
narrowly,1
huge,1
productive,2
40-38,1
___________,1
numerous,1
11-for-12,1
fourth,26
earlier,3
1st-ever,1
such,1
third,14
21-for-25,1
so,3
38-38,1
nearly,1
88-73,1
over,1
WNBA-leading,2
still,2
scoring,1
internationally,1
personal,3
high-low,1
ll,1
torn,1
.921,1
.667,1
.923,1
78-65,1
then,2
good,1
grand,2
2017-20,1
half,1
not,3
now,7
79-62,1
playoff,1
81-69,2
.500,1
second-most,1
fewer,3
er,1
71-59,1
longtime,2
85-79,1
5th-straight,1
21-8,1
4-straight,3
1-2,1
associate,1
franchise’s,1
seventh,1
free,19
playoff-best,1
triple-double,2
68-60,1
68-64,1
re-,3
to-back,1
93-76,1
8-0,1
8-2,1
first,45
58-48,1
least,11
league-high,1
open,1
two-,1
Eastern,4
leading,1
top,4
FANCY,1
second-fewest,1
too,1
final,5
2-2,1
2-1,3
2-4,1
lower,1
biggest,1
12-for-16,1
14-13,1
son-opening,1
double,14
20-point,1
17-2,1
10-0,2
10-2,3
_______________,2
87-91,1
13th,1
3-POINT,1
alike,1
league-best,1
clearly,1
86-86,1
86-84,1
76-62,1
veteran,2
able,1
also,25
5-for-5,1
team-best,2
game-high,2
14-3,1
single-game,3
multiple,1
six-year,1
team-high,3
most,12
regular,5
significant,1
.793,1
5-4,1
tendon,1
5-0,1
700th,2
later,1
5-9,1
5-foot-8,1
professional,2
.385,1
25-24,2
36-30,1
Skylar,1
opponents’,1
slow,1
double-,1
Big,1
Similarly,1
outside,1
Free,2
only,8
90-79,3
uncontested,1
familiar,2
eight-year,1
overall,8
longest,7
12-8,1
playoff-,1
shy,2
twice,2
18-year-old,1
rival,2
double-double,16
national,2
8-for-12,1
11th,1
best,7
defensively,1
eighth-leading,1
away,4
currently,5
18-2,2
unable,1
top-seed-,1
consecutive,8
80-71,1
15th,1
available,1
perfect,6
explosive,1
86-66,1
however,2
46-42,1
ranked,1
key,1
franchise,7
league,3
last,24
47-40,1
46-32,1
champion-,1
sea-,1
single-season,2
Riquna,1
102-93,2
102-94,1
_____________,1
82-76,1
due,1
quickly,1
combined,1
Trouble,1
first-year,1
consider-,1
former,3
4-0,1
4-2,1
all-time,5
7-3,1
7-2,1
straight,6
7-0,1
single,1
professionally,1
16-foot,1
reliably,1
leaning,1
ve,4
1ST-EVER,1
triple,2
ready,1
.831,1
different,1
4th-best,1
double-figure,3
.647,1
franchise-record,1
largest,1
several,1
91-87,1
temporary,1
assist,4
250th,1
recent,2
two-point,2
well,4
5-game,1
76-61,1
103-92,1
just,11
less,1
second-seeded,1
valuable,2
nal,2
day-to-day,1
previous,9
SWEET,1
eld,3
bench,1
24-for-26,1
follow-,1
20-20,1
sensational,1
Last,3
career-best,4
big,3
early,4
whopping,1
8-straight,1
career-,3
point/rebound,1
team’s,3
.308,1
either,1
right,1
old,1
back,7
.857,1
30-27,1
lead,1
Earlier,1
However,1
3-pointer,2
franchise-history,1
critical,1
sixth,3
stellar,2
defensive,2
22-20,1
o,1
free-,1
own,1
formerly,1
87-77,2
dazzling,1
down,5
guard,3
back-to-back,10
11-straight,1
•,1
long,4
overtime,2
3-of-10,1
low,2
forward,5
head,1
shoot-,2
enough,1
tally,1
Steady,1
largest-ever,1
highest,5
true,1
contagious.”,1
made,3
evident,1
up,3
88-for-111,1
82-81,1
as,1
together,1
second-highest,1
again,3
3-point,9
10-of-26,1
offensive,1
10-of-20,2
other,1
101-65,1
35-for-38,1
stat,1
fewest,2
ago,2
younger,2
percent-,1
3-2,1
3-1,2
original,1
back-,1
14-for-,1
once,1
